z,n,symbol,radius,abundance,half life (s),binding energy / A (keV),atomic mass (u),ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
0,1,Nn,-0.1149, ,613.9,0,1008664.9159,31-Oct-2005,BALRAJ SINGH,2022-04-26
0,4,N, , ,1.7547604425822527e-22, , ,30-Aug-2017,J.E. Purcell and  C.G. Sheu,2022-04-26
0,6,N, , , , , ,15-March-2017,J.H. Kelley and  G.C. Sheu,2022-04-26
1,0,H,0.8783,99.9855, ,0,1007825.031898,31-Oct-2005,BALRAJ SINGH,2022-04-26
1,1,H,2.1421,0.0145, ,1112.2831,2014101.777844,1-May-2003,J.H. KELLEY and  J.L. GODWIN,2022-04-26
1,2,H,1.7591, ,388781328.00697345,2827.2654,3016049.28132,30-Jun-2015,J.E. Purcell{+#} and  C.G. Sheu{+*},2022-04-26
1,3,H, , , ,1720.4491,4026431.867,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2022-04-26
1,4,H, , ,8.608258774931805e-23,1336.3592,5035311.492,28-Feb-2019,J.E. Purcell and  C.G. Sheu,2022-04-26
1,5,H, , ,2.943469129492811e-22,961.6395,6044955.437,23-March-2017,J.E. Purcell and  C.G. Sheu,2022-04-26
1,6,H, , ,5.069307945237619e-21,940,7052749,23-March-2017,J.E. Purcell and  C.G. Sheu,2022-04-26
2,1,He,1.9661,0.0002, ,2572.68044,3016029.32197,30-Jun-2015,J.E. Purcell{+#} and  C.G. Sheu{+*},2022-04-26
2,2,He,1.6755,99.9998, ,7073.9156,4002603.25413,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2022-04-26
2,3,He, , ,7.040705479496693e-22,5512.1325,5012057.224,23-AUG-2001,X. HU and  D.R.TILLEY and  J.H.KELLEY,2022-04-26
2,4,He,2.0660, ,0.8067,4878.5199,6018885.889,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2022-04-26
2,5,He, , ,3.0415847671425716e-21,4123.0578,7027990.652,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2022-04-26
2,6,He,1.9239, ,0.1191,3924.521,8033934.388,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2022-04-26
2,7,He, , , ,3349.038,9043946.414,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2022-04-26
2,8,He, , ,1.5207923835712858e-21,2995.134,10052815.306,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2022-04-26
3,1,Li, , , ,1153.7603,4027185.561,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2022-04-26
3,2,Li, , ,3.709249716027526e-22,5266.1325,5012537.8,23-AUG-2001,X. HU and  D.R.TILLEY and  J.H.KELLEY,2022-04-26
3,3,Li,2.5890,4.85, ,5332.3312,6015122.88742,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2022-04-26
3,4,Li,2.4440,95.15, ,5606.4401,7016003.43426,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2022-04-26
3,5,Li,2.3390, ,0.8399,5159.7124,8022486.244,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2022-04-26
3,6,Li,2.2450, ,0.1783,5037.7685,9026790.191,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2022-04-26
3,7,Li, , , ,4531.3512,10035483.453,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2022-04-26
3,8,Li,2.4820, ,0.00875,4155.3817,11043723.581,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2022-04-26
3,9,Li, , , ,3791.5999,12052613.942,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2022-04-26
4,2,Be, , ,4.959105598602019e-21,4487.2478,6019726.409,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2022-04-26
4,3,Be,2.6460, ,4598208,5371.5487,7016928.714,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2022-04-26
4,4,Be, , ,8.190982317260066e-17,7062.4356,8005305.102,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2022-04-26
4,5,Be,2.5190,100, ,6462.6693,9012183.062,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2022-04-26
4,6,Be,2.3550, ,47650958221633.92,6497.6306,10013534.692,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2022-04-26
4,7,Be,2.4630, ,13.76,5952.5402,11021661.08,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2022-04-26
4,8,Be, , ,0.02146,5720.7223,12026922.082,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2022-04-26
4,9,Be, , ,2.7e-21,5241.4359,13036134.506, ,J. Blachot,2022-04-26
4,10,Be, , ,0.00435,4993.8973,14042892.92,1-JUL-1990,F. AJZENBERG-SELOVE,2022-04-26
4,11,Be, , ,7.866167501230788e-22,4540.9708,15053490.215,31-MARCH-2015,J. Kelley,2022-04-26
4,12,Be, , ,5.702971438392321e-22,4285.2851,16061672.036,29-SEPT-2014,J. Kelley,2022-04-26
5,2,B, , ,5.695851623862494e-22,3558.7055,7029712,01-June-2014,J. Kelley and  C.G. Sheu,2022-04-26
5,3,B, , ,0.77,4717.1551,8024607.315,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2022-04-26
5,4,B, , ,8.448846575396032e-19,6257.0713,9013329.645,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2022-04-26
5,5,B,2.4277,19.65, ,6475.0835,10012936.862,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2022-04-26
5,6,B,2.4060,80.35, ,6927.7323,11009305.166,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2022-04-26
5,7,B, , ,0.0202,6631.2237,12014352.638,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2022-04-26
5,8,B, , ,0.01733,6496.4194,13017779.981,23-Apr-1986,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2022-04-26
5,9,B, , ,0.0125,6101.6451,14025404.01,1-JUL-1990,F. AJZENBERG-SELOVE,2022-04-26
5,10,B, , ,0.00993,5880.0438,15031087.023,1-Jul-1990,F. AJZENBERG-SELOVE,2022-04-26
5,11,B, , ,4.5623771507138576e-21,5507.3535,16039841.045,16-Jan-2016,J.H. Kelley and  G.C. Sheu,2022-04-26
5,12,B, , ,0.00508,5269.6677,17046931.399,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2022-04-26
5,13,B, , , ,4976.6306,18055601.683,16-Jan-2016,J.H. Kelley and  C.G. Sheu,2022-04-26
5,14,B, , ,0.00292,4719.6346,19064166,25-Oct-2018,G.C. Sheu and  J.H. Kelley,2022-04-26
5,15,B, , ,9.124754301427716e-22,4405.6529,20074505.644,01-Jan-2019,J.H. Kelley and  G.C. Sheu,2022-04-26
5,16,B, , ,7.603961917856429e-22,4152.5265,21084147.485,01-Jan-2019,J.H. Kelley and  G.C. Sheu,2022-04-26
6,2,C, , ,3.509520885164506e-21,3101.5242,8037643.039,13-Aug-2018,J.E. Purcell and  C.G. Sheu,2022-04-26
6,3,C, , ,0.1265,4337.4233,9031037.202,31-July-2020,J.H. KELLEY and  B. Grees,2022-04-26
6,4,C, , ,19.29,6032.0426,10016853.217,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2022-04-26
6,5,C, , ,1221.84,6676.4563,11011432.597,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2022-04-26
6,6,C,2.4702,98.94, ,7680.1446,12000000,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2022-04-26
6,7,C,2.4614,1.06, ,7469.8495,13003354.83534,1-Jul-1990,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2022-04-26
6,8,C,2.5025, ,179874478055.1744,7520.3198,14003241.98862,1-JUL-1990,F. AJZENBERG-SELOVE,2022-04-26
6,9,C, , ,2.449,7100.1696,15010599.256,1-Jul-1990,F. AJZENBERG-SELOVE,2022-04-26
6,10,C, , ,0.747,6922.0546,16014701.255,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2022-04-26
6,11,C, , ,0.193,6558.0262,17022578.65,01-May-2017,J.H. Kelley and  G.C. Sheu,2022-04-26
6,12,C, , ,0.092,6426.1321,18026751.93,01-May-2017,J. Kelley and  C.G. Sheu,2022-04-26
6,13,C, , ,0.0463,6118.274,19034797.594,23-March-2017,J.H. Kelley and  G.C. Sheu,2022-04-26
6,14,C, , ,0.0163,5961.4356,20040261.732,9-June-2017,M.S. Narijauskas and  J.H. Kelley and  C.G. Sheu,2022-04-26
6,16,C, , ,0.0061,5421.0778,22057553.99,1-Apr-2015,M. Shamsuzzoha Basunia,2022-04-26
7,3,N, , ,1.8249508602855427e-22,3643.6724,10041653.54,20-July-2017,M.S. Narijauskas and  J.H. Kelley and  C.G. Sheu,2022-04-26
7,4,N, , ,5.496839940619106e-22,5358.4023,11026157.593,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2022-04-26
7,5,N, , ,0.011,6170.11,12018613.18,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2022-04-26
7,6,N, , ,597.9,7238.8634,13005738.609,23-Apr-1986,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2022-04-26
7,7,N,2.5582,99.6205, ,7475.6148,14003074.00425,1-JUL-1990,F. AJZENBERG-SELOVE,2022-04-26
7,8,N,2.6058,0.3795, ,7699.4603,15000108.89827,1-Jul-1990,F. AJZENBERG-SELOVE,2022-04-26
7,9,N, , ,7.13,7373.7971,16006101.925,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2022-04-26
7,10,N, , ,4.173,7286.2294,17008448.876,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2022-04-26
7,11,N, , ,0.619,7038.5627,18014077.563,30-Jun-2021,R. Spitzer and  J.H. Kelley,2022-04-26
7,12,N, , ,0.336,6948.5452,19017022.389,06-Nov-2018,G.C. Sheu and  J.H. Kelley,2022-04-26
7,13,N, , ,0.1344,6709.1717,20023367.295,31-Dec-2018,C.G. Sheu and  J.H. Kelley,2022-04-26
7,14,N, , ,0.084,6609.0159,21027087.573,15-Jan-2015,R.B. FIRESTONE,2022-04-26
7,15,N, , ,0.023,6378.5347,22034100.918,1-Apr-2015,M. Shamsuzzoha Basunia,2022-04-26
7,16,N, , ,0.0141,6236.6721,23039421,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2022-04-26
7,17,N, , ,0.000000052,5887,24050390,3-Oct-2006,R.B. FIRESTONE,2022-04-26
8,3,O, , ,3.5095208851645054e-22,3162.4372,11051249.828,29-April-2019,C.G. Sheu and  J.H. Kelley,2022-04-26
8,4,O, , ,6.3366349315470245e-21,4881.9755,12034367.726,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2022-04-26
8,5,O, , ,0.00858,5811.7636,13024815.435,23-Apr-1986,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2022-04-26
8,6,O, , ,70.606,7052.2783,14008596.706,1-JUL-1990,F. AJZENBERG-SELOVE,2022-04-26
8,7,O, , ,122.24,7463.6915,15003065.636,1-Jul-1990,F. AJZENBERG-SELOVE,2022-04-26
8,8,O,2.6991,99.757, ,7976.2072,15994914.61926,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2022-04-26
8,9,O,2.6932,0.03835, ,7750.7291,16999131.75595,5-Aug-2021,C.G. Sheu and J.H. Kelley and J. Purcell,2022-04-26
8,10,O,2.7726,0.2045, ,7767.0981,17999159.61214,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2022-04-26
8,11,O, , ,26.88,7566.4952,19003577.969,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2022-04-26
8,12,O, , ,13.51,7568.5707,20004075.357,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2022-04-26
8,13,O, , ,3.42,7389.3747,21008654.948,15-Jan-2015,R.B. FIRESTONE,2022-04-26
8,14,O, , ,2.25,7364.8722,22009965.744,1-Apr-2015,M. Shamsuzzoha Basunia,2022-04-26
8,15,O, , ,0.097,7163.4856,23015696.686,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2022-04-26
8,16,O, , ,0.065,7039.6855,24019861,12-JUN-2015,BALRAJ SINGH,2022-04-26
8,18,O, , ,0.0000000000045,6497.479,26037210.155,1-Feb-2016,M.S. Basunia and A.M. Hurst,2022-04-26
9,4,F, , ,4.5172050997166895e-22,4297,13045121,14-March-2021,J. Kelley and  C.G. Sheu,2022-04-26
9,5,F, , ,5.013601264520723e-22,5285.2091,14034315.196,01-MARCH-2014,J. Kelley and  C.G. Sheu,2022-04-26
9,6,F, , ,6.912692652596753e-22,6497.4597,15017785.139,17-JULY-2016,J. Kelley and  T. Truong and  C.G. Sheu,2022-04-26
9,7,F, , ,1.1405942876784644e-20,6964.049,16011460.278,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2022-04-26
9,8,F, , ,64.49,7542.3284,17002095.237,31-DEC-1992,J.H. KELLEY and  D.R. TILLEY and  H.R. WELLER AND C.M. CHEVES,2022-04-26
9,9,F, , ,6586.2,7631.6383,18000937.324,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2022-04-26
9,10,F,2.8976,100, ,7779.0192,18998403.16207,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2022-04-26
9,11,F, , ,11.07,7720.1351,19999981.252,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2022-04-26
9,12,F, , ,4.158,7738.2934,20999948.893,15-Jan-2015,R.B. FIRESTONE,2022-04-26
9,13,F, , ,4.23,7624.2954,22002998.812,1-Apr-2015,M. Shamsuzzoha Basunia,2022-04-26
9,14,F, , ,2.23,7622.3447,23003526.875,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2022-04-26
9,15,F, , ,0.39,7463.5831,24008099.37,3-Oct-2006,R.B. FIRESTONE,2022-04-26
9,16,F, , ,0.08,7336.3065,25012167.727,1-Feb-2008,R.B. FIRESTONE,2022-04-26
9,17,F, , ,0.0082,7082.2497,26020048.065,1-Feb-2016,M.S. Basunia and A.M. Hurst,2022-04-26
9,18,F, , ,0.005,6879.6662,27026981.897,30-Nov-2010,M. Shamsuzzoha Basunia,2022-04-26
9,19,F, , ,4.6e-20,6626.8567,28035860.448, ,M.S. Basunia,2022-04-26
9,20,F, , ,0.0025,6444.0314,29043103,1-Jan-2012,M. Shamsuzzoha Basunia,2022-04-26
9,21,F, , , ,6205,30052561,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2022-04-26
9,22,F, , ,0.00000026,6011,31061023,15-Feb-2013,CHRISTIAN OUELLET AND BALRAJ SINGH,2022-04-26
10,5,Ne, , ,7.732842628328571e-22,4868.7285,15043172.977,01-MARCH-2014,J. Kelley and  C.G. Sheu,2022-04-26
10,6,Ne, , ,5.702971438392322e-21,6083.1777,16025750.86,27-Jan-2020,G.C. Sheu and  J.H. Kelley,2022-04-26
10,7,Ne,3.0413, ,0.1092,6640.4991,17017713.962,16-Jan-2018,J.H. Kelley and  G.C. Sheu,2022-04-26
10,8,Ne,2.9714, ,1.672,7341.2577,18005708.696,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2022-04-26
10,9,Ne,3.0082, ,17.22,7567.3431,19001880.906,31-OCT-1994,TILLEY and  WELLER and  CHEVES and  CHASTELER,2022-04-26
10,10,Ne,3.0055,90.48, ,8032.2412,19992440.17525,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2022-04-26
10,11,Ne,2.9695,0.27, ,7971.7136,20993846.685,15-Jan-2015,R.B. FIRESTONE,2022-04-26
10,12,Ne,2.9525,9.25, ,8080.4656,21991385.113,1-Apr-2015,M. Shamsuzzoha Basunia,2022-04-26
10,13,Ne,2.9104, ,37.25,7955.2561,22994466.905,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2022-04-26
10,14,Ne,2.9007, ,202.8,7993.3252,23993610.649,3-Oct-2006,R.B. FIRESTONE,2022-04-26
10,15,Ne,2.9316, ,0.602,7839.7994,24997814.797,1-Feb-2008,R.B. FIRESTONE,2022-04-26
10,16,Ne,2.9251, ,0.197,7751.911,26000516.496,1-Feb-2016,M.S. Basunia and A.M. Hurst,2022-04-26
10,17,Ne, , ,0.0315,7520.4151,27007569.462,30-Nov-2010,M. Shamsuzzoha Basunia,2022-04-26
10,18,Ne,2.9642, ,0.02,7388.3463,28012130.767,1-Apr-2013,M. Shamsuzzoha Basunia,2022-04-26
10,19,Ne, , ,0.015,7167.0673,29019753,1-Jan-2012,M. Shamsuzzoha Basunia,2022-04-26
10,20,Ne, , ,0.0073,7034.5317,30024992.235,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2022-04-26
10,21,Ne, , ,0.0034,6813.0902,31033474.816,15-Feb-2013,CHRISTIAN OUELLET AND BALRAJ SINGH,2022-04-26
10,22,Ne, , ,0.0035,6671,32039720,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2022-04-26
10,23,Ne, , ,0.00000018,6436,33049523,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2022-04-26
10,24,Ne, , ,0.00000006,6287,34056728,28-May-2012,NINEL NICA and  BALRAJ SINGH,2022-04-26
11,6,Na, , , ,5522.7653,17037273,1-Sept-2017,J.H. Kelley and  G.C. Sheu,2022-04-26
11,7,Na, , ,2.2811885753569284e-21,6202.2176,18026879.388,29-July-2015,J.H. Kelley and  G.C. Sheu,2022-04-26
11,8,Na, , ,1.1405942876784644e-20,6937.8864,19013880.264,29-July-2015,J.H. Kelley and  G.C. Sheu,2022-04-26
11,9,Na,2.9718, ,0.4479,7298.5028,20007354.301,21-APR-1997,D. R. TILLEY and  C. CHEVES and  J. KELLEY and  S. RAMAN and  H. WELLER,2022-04-26
11,10,Na,3.0136, ,22.49,7765.5581,20997654.459,15-Jan-2015,R.B. FIRESTONE,2022-04-26
11,11,Na,2.9852, ,82104810.00069347,7915.6624,21994437.547,1-Apr-2015,M. Shamsuzzoha Basunia,2022-04-26
11,12,Na,2.9936,100, ,8111.4936,22989769.28195,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2022-04-26
11,13,Na,2.9735, ,53989.2,8063.4882,23990963.012,3-Oct-2006,R.B. FIRESTONE,2022-04-26
11,14,Na,2.9769, ,59.1,8101.3979,24989953.974,1-Feb-2008,R.B. FIRESTONE,2022-04-26
11,15,Na,2.9928, ,1.07128,8004.2013,25992634.649,1-Feb-2016,M.S. Basunia and A.M. Hurst,2022-04-26
11,16,Na,3.0136, ,0.301,7956.9467,26994076.408,30-Nov-2010,M. Shamsuzzoha Basunia,2022-04-26
11,17,Na,3.0400, ,0.0305,7799.2644,27998939,1-Apr-2013,M. Shamsuzzoha Basunia,2022-04-26
11,18,Na,3.0922, ,0.0441,7682.1522,29002877.091,1-Jan-2012,M. Shamsuzzoha Basunia,2022-04-26
11,19,Na,3.1180, ,0.048,7501.9685,30009097.931,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2022-04-26
11,20,Na,3.1704, ,0.01735,7398.6778,31013146.654,15-Feb-2013,CHRISTIAN OUELLET AND BALRAJ SINGH,2022-04-26
11,21,Na, , ,0.0132,7219.8815,32020011.024,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2022-04-26
11,22,Na, , ,0.008,7089.9262,33025529,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2022-04-26
11,23,Na, , ,0.0055,6886.4377,34034010,28-May-2012,NINEL NICA and  BALRAJ SINGH,2022-04-26
11,24,Na, , ,0.0018,6745,35040614,15-DEC-2017,BALRAJ SINGH AND JUN CHEN,2022-04-26
11,25,Na, , ,0.00000018,6557,36049279,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2022-04-26
11,26,Na, , ,0.00000006,6403,37057042,15-Jan-2012,JOHN CAMERON and  JUN CHEN AND BALRAJ SINGH and  NINEL NICA,2022-04-26
12,7,Mg, , ,0.000000000004002085219924436,5901.4992,19034179.92,1-Jan-2014,J.H. Kelley and  G.C. Sheu,2022-04-26
12,8,Mg, , ,0.0904,6728.0252,20018763.075,20-June-2019,J.H. Kelley and  G.C. Sheu,2022-04-26
12,9,Mg, , ,0.122,7105.0317,21011705.764,15-Jan-2015,R.B. FIRESTONE,2022-04-26
12,10,Mg, , ,3.8755,7662.7645,21999570.597,1-Apr-2015,M. Shamsuzzoha Basunia,2022-04-26
12,11,Mg, , ,11.3046,7901.1229,22994123.768,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2022-04-26
12,12,Mg,3.0570,78.965, ,8260.7103,23985041.689,3-Oct-2006,R.B. FIRESTONE,2022-04-26
12,13,Mg,3.0284,10.011, ,8223.5028,24985836.966,1-Feb-2008,R.B. FIRESTONE,2022-04-26
12,14,Mg,3.0337,11.025, ,8333.8711,25982592.972,1-Feb-2016,M.S. Basunia and A.M. Hurst,2022-04-26
12,15,Mg, , ,567.48,8263.8525,26984340.647,30-Nov-2010,M. Shamsuzzoha Basunia,2022-04-26
12,16,Mg, , ,75294,8272.4531,27983875.426,1-Apr-2013,M. Shamsuzzoha Basunia,2022-04-26
12,17,Mg, , ,1.3,8113.5317,28988607.163,1-Jan-2012,M. Shamsuzzoha Basunia,2022-04-26
12,18,Mg, , ,0.335,8054.425,29990465.454,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2022-04-26
12,19,Mg, , ,0.236,7869.1886,30996648.232,15-Feb-2013,CHRISTIAN OUELLET AND BALRAJ SINGH,2022-04-26
12,20,Mg, , ,0.086,7803.8411,31999110.138,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2022-04-26
12,21,Mg, , ,0.0905,7636.4382,33005327.862,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2022-04-26
12,22,Mg, , ,0.02,7550.3919,34008935.455,28-May-2012,NINEL NICA and  BALRAJ SINGH,2022-04-26
12,23,Mg, , ,0.0113,7356.2338,35016790,15-DEC-2017,BALRAJ SINGH AND JUN CHEN,2022-04-26
12,24,Mg, , ,0.0076,7244.4202,36021879,21-MAY-2021,BALRAJ SINGH,2022-04-26
12,25,Mg, , ,0.008,7055.1115,37030286.265,15-Jan-2012,JOHN CAMERON and  JUN CHEN AND BALRAJ SINGH and  NINEL NICA,2022-04-26
12,26,Mg, , , ,6928,38036580,30-Sep-2017,JUN CHEN,2022-04-26
12,27,Mg, , ,0.00000018,6734,39045921,1-Jan-2018,JUN CHEN,2022-04-26
12,28,Mg, , , ,6598,40053194,21-MAY-2021,BALRAJ SINGH,2022-04-26
13,8,Al, , ,0.000000035,6297,21029082,15-Jan-2015,R.B. FIRESTONE,2022-04-26
13,9,Al, , ,0.0911,6782,22019540,1-Apr-2015,M. Shamsuzzoha Basunia,2022-04-26
13,10,Al, , ,0.446,7335.7275,23007244.351,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2022-04-26
13,11,Al, , ,2.053,7649.5806,23999947.598,3-Oct-2006,R.B. FIRESTONE,2022-04-26
13,12,Al, , ,7.183,8021.1366,24990428.308,1-Feb-2008,R.B. FIRESTONE,2022-04-26
13,13,Al, , ,22626315923782.465,8149.7653,25986891.876,1-Feb-2016,M.S. Basunia and A.M. Hurst,2022-04-26
13,14,Al,3.0610,100, ,8331.5533,26981538.408,30-Nov-2010,M. Shamsuzzoha Basunia,2022-04-26
13,15,Al, , ,134.7,8309.8969,27981910.009,1-Apr-2013,M. Shamsuzzoha Basunia,2022-04-26
13,16,Al, , ,393.6,8348.4647,28980453.164,1-Jan-2012,M. Shamsuzzoha Basunia,2022-04-26
13,17,Al, , ,3.62,8261.1049,29982969.171,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2022-04-26
13,18,Al, , ,0.644,8225.518,30983949.754,15-Feb-2013,CHRISTIAN OUELLET AND BALRAJ SINGH,2022-04-26
13,19,Al, , ,0.033,8100.3449,31988084.338,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2022-04-26
13,20,Al, , ,0.0417,8020.6172,32990877.685,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2022-04-26
13,21,Al, , ,0.0563,7860.3506,33996781.924,28-May-2012,NINEL NICA and  BALRAJ SINGH,2022-04-26
13,22,Al, , ,0.0383,7787.1243,34999759.816,15-DEC-2017,BALRAJ SINGH AND JUN CHEN,2022-04-26
13,23,Al, , ,0.09,7623.5154,36006388,31-Dec-2011,NINEL NICA and  JOHN CAMERON AND BALRAJ SINGH,2022-04-26
13,24,Al, , ,0.0107,7531.316,37010531,15-Jan-2012,JOHN CAMERON and  JUN CHEN AND BALRAJ SINGH and  NINEL NICA,2022-04-26
13,25,Al, , ,0.009,7370,38017681,30-Sep-2017,JUN CHEN,2022-04-26
13,26,Al, , ,0.0076,7260,39023070,1-Jan-2018,JUN CHEN,2022-04-26
13,27,Al, , ,0.00000026,7097,40030940,30-Sep-2015,JUN CHEN,2022-04-26
13,28,Al, , , ,6980,41037134,30-Sep-2015,C.D. Nesaraja and  E.A. McCutchan,2022-04-26
13,29,Al, , ,0.00000017,6829,42045078,31-May-2016,JUN CHEN{+#} AND BALRAJ SINGH,2022-04-26
13,30,Al, , ,0.00000017,6712,43051820,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2022-04-26
14,8,Si, , ,0.029,6044,22036114,1-Apr-2015,M. Shamsuzzoha Basunia,2022-04-26
14,9,Si, , ,0.0423,6554,23025711,1-Jun-2020,M.S. Basunia{+#} and  A. Chakraborty{+##},2022-04-26
14,10,Si, , ,0.14,7167.2329,24011535.43,3-Oct-2006,R.B. FIRESTONE,2022-04-26
14,11,Si, , ,0.22,7480.1109,25004108.798,1-Feb-2008,R.B. FIRESTONE,2022-04-26
14,12,Si, , ,2.2453,7924.7083,25992333.818,1-Feb-2016,M.S. Basunia and A.M. Hurst,2022-04-26
14,13,Si, , ,4.15,8124.342,26986704.687,30-Nov-2010,M. Shamsuzzoha Basunia,2022-04-26
14,14,Si,3.1224,92.2545, ,8447.7445,27976926.53442,1-Apr-2013,M. Shamsuzzoha Basunia,2022-04-26
14,15,Si,3.1176,4.672, ,8448.6361,28976494.66434,1-Jan-2012,M. Shamsuzzoha Basunia,2022-04-26
14,16,Si,3.1336,3.0735, ,8520.6549,29973770.137,30-Jun-2010,M. SHAMSUZZOHA BASUNIA,2022-04-26
14,17,Si, , ,9441.6,8458.2916,30975363.196,15-Feb-2013,CHRISTIAN OUELLET AND BALRAJ SINGH,2022-04-26
